id	library	condition	replicate	label	bam	group
HeLa_control_input_rep1	input	control	1	HeLa_control_rep1	HeLa_control_input_rep1.genome.sorted.bam	HeLa_control
HeLa_control_input_rep2	input	control	2	HeLa_control_rep2	HeLa_control_input_rep2.genome.sorted.bam	HeLa_control
HeLa_control_IP_rep1	ip	control	1	HeLa_control_rep1	HeLa_control_IP_rep1.genome.sorted.bam	HeLa_control
HeLa_control_IP_rep2	ip	control	2	HeLa_control_rep2	HeLa_control_IP_rep2.genome.sorted.bam	HeLa_control
HeLa_shMETTL3_input_rep1	input	treated	1	HeLa_shMETTL3_rep1	HeLa_shMETTL3_input_rep1.genome.sorted.bam	HeLa_shMETTL3
HeLa_shMETTL3_input_rep2	input	treated	2	HeLa_shMETTL3_rep2	HeLa_shMETTL3_input_rep2.genome.sorted.bam	HeLa_shMETTL3
HeLa_shMETTL3_IP_rep1	ip	treated	1	HeLa_shMETTL3_rep1	HeLa_shMETTL3_IP_rep1.genome.sorted.bam	HeLa_shMETTL3
HeLa_shMETTL3_IP_rep2	ip	treated	2	HeLa_shMETTL3_rep2	HeLa_shMETTL3_IP_rep2.genome.sorted.bam	HeLa_shMETTL3
HeLa_shMETTL14_input_rep1	input	treated	1	HeLa_shMETTL14_rep1	HeLa_shMETTL14_input_rep1.genome.sorted.bam	HeLa_shMETTL14
HeLa_shMETTL14_input_rep2	input	treated	2	HeLa_shMETTL14_rep2	HeLa_shMETTL14_input_rep2.genome.sorted.bam	HeLa_shMETTL14
HeLa_shMETTL14_IP_rep1	ip	treated	1	HeLa_shMETTL14_rep1	HeLa_shMETTL14_IP_rep1.genome.sorted.bam	HeLa_shMETTL14
HeLa_shMETTL14_IP_rep2	ip	treated	2	HeLa_shMETTL14_rep2	HeLa_shMETTL14_IP_rep2.genome.sorted.bam	HeLa_shMETTL14
